品名,最低价,平均价,最高价,产地,单位
青提（维多利亚）,10.5,10.75,11.0,未知,斤
蓝莓葡萄,7.0,8.5,10.0,未知,斤
乒乓球葡萄,11.0,13.0,15.0,未知,斤
台农,4.0,5.0,6.0,未知,斤
台农,5.0,6.0,7.0,未知,斤
玉文,7.0,7.75,8.5,未知,斤
青皮,4.5,5.25,6.0,未知,斤
贵妃芒,6.5,7.25,8.0,未知,斤
高乐蜜,7.0,7.25,7.5,未知,斤
水仙芒果,8.0,8.25,8.5,未知,斤
妃子笑,10.0,11.0,12.0,未知,斤
红灯,9.0,10.5,12.0,未知,斤
水晶,12.0,16.0,20.0,未知,斤
美早,10.0,27.5,45.0,未知,斤
先锋,17.0,21.0,25.0,未知,斤
白条猪,9.25,9.25,9.25,未知,斤
白条猪,8.25,8.25,8.25,未知,斤
前臀尖,8.5,8.75,9.0,未知,斤
前臀尖,7.5,7.75,8.0,未知,斤
后臀尖,8.5,8.75,9.0,未知,斤
后臀尖,7.5,7.75,8.0,未知,斤
五花肉,11.0,11.25,11.5,未知,斤
五花肉,10.0,10.25,10.5,未知,斤
精五花,14.0,14.5,15.0,未知,斤
纯通脊,11.0,11.5,12.0,未知,斤
通脊,8.5,8.75,9.0,未知,斤
小里脊,12.0,12.5,13.0,未知,斤
梅花肉,10.5,10.75,11.0,未知,斤
纯瘦肉,9.5,9.75,10.0,未知,斤
护心肉,15.0,17.5,20.0,未知,斤
前肘,8.5,9.25,10.0,未知,斤
后肘,7.2,7.85,8.5,未知,斤
月牙骨,18.0,19.0,20.0,未知,斤
猪尾巴,40.0,45.0,50.0,未知,斤
猪蹄,16.5,17.25,18.0,未知,斤
纯排骨,18.5,19.25,20.0,未知,斤
纯腔骨,5.5,6.0,6.5,未知,斤
腔排骨,12.5,12.75,13.0,未知,斤
梅花骨,8.0,8.5,9.0,未知,斤
棒骨,7.0,7.5,8.0,未知,斤
猪头,10.0,10.0,10.0,未知,斤
猪口条,13.0,13.0,13.0,未知,斤
猪耳,23.0,24.0,25.0,未知,斤
猪脑,17.5,18.75,20.0,未知,斤
猪肚,19.0,19.0,19.0,未知,斤
猪板油,5.5,5.75,6.0,未知,斤
肥膘肉,3.5,4.0,4.5,未知,斤
猪腰子,17.0,17.0,17.0,未知,斤
猪心,7.0,7.0,7.0,未知,斤
猪肝,3.5,3.75,4.0,未知,斤
猪肺,2.5,2.5,2.5,未知,个
